last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Dozier, Brian,572821,270,18.5,32.6,106.6,88.7,93.5,83.9,435,193,394,98,36.3,19,7.0,4.5
Greinke, Zack,425844,41,0.3,31.7,106.5,82.4,92.5,76.7,413,147,394,12,29.3,5,12.2,9.3
Wieters, Matt,446308,109,15.1,32.1,106.4,89.1,92.0,85.9,428,197,386,39,35.8,9,8.3,5.4
Viloria, Meibrys,650619,40,1.1,15.0,106.4,87.5,90.1,86.3,349,127,343,11,27.5,0,0.0,0.0
Murphy, Daniel,502517,285,15.4,35.4,106.4,86.3,89.6,84.2,427,178,390,77,27.1,8,2.8,2.2
Joseph, Corban,543377,18,6.9,27.8,106.4,88.3,93.9,86.1,424,161,424,6,33.3,1,5.6,4.8
Stassi, Max,545358,74,11.9,24.3,106.4,89.9,93.5,89.3,378,145,366,31,43.1,2,2.7,1.6
McKay, Brendan,656713,4,-26.7,0.0,106.4,79.6,,79.6,17,7,,1,25.0,0,0.0,0.0
Tapia, Raimel,606132,271,7.9,36.9,106.3,87.9,90.4,86.1,440,162,405,92,33.9,11,4.1,3.0
Flores, Wilmer,527038,166,15.1,36.1,106.3,87.1,89.5,85.6,422,173,392,47,28.3,8,4.8,4.0
Phegley, Josh,572033,209,18.9,32.1,106.3,83.8,88.5,79.4,413,184,384,50,24.4,7,3.3,2.6
Brito, Socrates,593647,22,-2.1,22.7,106.3,88.0,89.7,87.0,390,129,,9,40.9,1,4.5,2.3
Semien, Marcus,543760,424,14.0,33.5,106.2,88.4,93.1,85.1,438,175,395,151,36.4,31,7.3,5.4
Panik, Joe,605412,336,12.5,33.9,106.2,86.4,89.5,84.4,414,171,392,85,25.5,7,2.1,1.7
Estrada, Thairo,642731,44,7.0,29.5,106.2,87.3,94.1,83.0,417,154,392,18,40.9,2,4.5,3.3
Brosseau, Michael,670712,81,16.7,32.1,106.2,85.3,91.7,79.1,413,191,384,27,33.3,3,3.7,2.6
Walker, Neil,435522,187,13.3,42.2,106.2,86.5,89.2,83.8,428,185,407,63,33.7,13,7.0,4.7
Frazier, Adam,624428,368,12.4,37.5,106.1,86.3,89.3,83.9,423,174,392,96,26.4,7,1.9,1.5
Grisham, Trent,663757,36,20.1,38.9,106.1,89.4,94.2,86.0,403,206,401,14,38.9,3,8.3,5.5
Stallings, Jacob,607732,87,11.0,31.0,106.1,89.4,93.2,86.3,408,174,392,33,39.8,7,8.0,5.6
Narvaez, Omar,553882,268,17.4,42.2,106.1,85.9,89.5,82.0,420,195,388,75,28.8,14,5.2,3.7
Moore, Dylan,664238,107,17.4,29.9,106.1,87.3,91.4,84.0,432,174,404,37,34.9,6,5.6,3.0
Heineman, Scott,595981,8,17.2,37.5,106.1,89.3,86.4,94.1,362,223,,2,25.0,0,0.0,0.0
Wynns, Austin,642851,37,0.5,18.9,106.0,83.0,83.9,82.7,343,109,,8,21.6,0,0.0,0.0
Collins, Zack,641470,12,7.0,33.3,106.0,89.6,98.2,84.0,447,220,447,5,41.7,1,8.3,3.2
deGrom, Jacob,594798,34,-3.2,26.5,106.0,81.1,89.2,75.5,383,136,383,10,30.3,1,2.9,1.9
Long, Shed,643418,49,12.8,30.6,106.0,87.4,91.5,84.5,385,159,358,14,30.4,2,4.1,2.5
Garneau, Dustin,572863,64,20.7,20.3,106.0,84.5,86.8,85.3,413,167,399,16,25.0,3,4.7,3.0
Hernandez, Marco,593523,61,10.6,23.0,106.0,85.8,87.0,87.3,395,159,371,14,23.0,1,1.6,1.2
Tinoco, Jesus,622786,1,-16.7,0.0,106.0,106.0,,106.0,7,7,,1,100.0,0,0.0,0.0
Peterson, Dustin,640460,30,11.0,23.3,105.9,84.5,89.3,80.6,368,131,,11,36.7,1,3.3,2.1
Perez, Michael,605421,24,13.3,33.3,105.9,91.9,95.3,88.7,408,182,,11,45.8,1,4.2,2.2
Tucker, Cole,657061,80,7.7,28.8,105.9,87.6,92.7,84.4,431,156,412,33,43.4,4,5.0,3.3
La Stella, Tommy,600303,256,13.4,34.4,105.9,87.9,92.1,85.4,433,170,396,78,30.6,14,5.5,4.5
Allen, Greg,656185,129,6.5,31.0,105.9,85.9,90.6,82.3,439,150,394,46,36.2,5,3.9,2.8
Hechavarria, Adeiny,588751,115,9.2,30.4,105.9,87.7,93.1,84.3,410,167,376,30,26.8,6,5.2,3.7
Allen, Austin,664119,34,3.4,32.4,105.8,81.1,84.9,79.3,344,114,,6,17.6,0,0.0,0.0
Musgrove, Joe,605397,31,3.5,22.6,105.8,74.5,88.0,63.4,358,165,,6,19.4,1,3.2,2.0
DeSclafani, Anthony,543101,25,-14.9,16.0,105.8,83.3,90.9,81.8,314,68,,8,33.3,0,0.0,0.0
Freeman, Mike,502273,82,7.2,36.6,105.7,82.5,89.9,76.9,403,153,382,25,30.5,3,3.7,2.3
Bonifacio, Jorge,593528,13,15.5,46.2,105.7,89.1,92.5,87.3,388,186,,4,30.8,1,7.7,4.8
Smith, Mallex,605480,294,8.1,32.0,105.7,85.2,88.8,83.1,398,147,377,60,20.6,7,2.4,1.6
Gray, Jon,592351,34,-5.6,11.8,105.7,64.9,84.9,58.9,274,59,,3,8.8,0,0.0,0.0
Descalso, Daniel,518614,110,10.4,30.0,105.7,87.6,93.2,83.8,421,168,407,34,30.9,4,3.6,2.2
Haseley, Adam,656514,75,8.0,29.3,105.6,87.2,91.4,85.6,411,121,404,19,25.3,3,4.0,2.8
Galvis, Freddy,520471,356,13.5,32.3,105.6,87.8,90.9,85.5,434,173,387,127,35.7,18,5.1,3.6
Demeritte, Travis,641513,39,13.8,33.3,105.6,90.3,93.8,89.9,386,171,339,18,46.2,2,5.1,2.9
Gyorko, Jedd,576397,45,15.1,24.4,105.6,84.6,93.2,80.8,435,157,424,13,28.9,2,4.4,3.0
Garlick, Kyle,664247,29,25.0,48.3,105.5,91.6,94.7,87.0,413,245,397,12,41.4,6,20.7,11.3
Matz, Steven,571927,30,1.1,26.7,105.5,76.7,84.1,74.2,391,141,391,6,20.0,1,3.3,2.3
Andujar, Miguel,609280,37,13.6,16.2,105.5,83.6,92.0,79.8,382,148,,9,24.3,0,0.0,0.0
Goins, Ryan,572365,70,9.0,28.6,105.5,87.9,91.9,85.2,416,160,388,25,35.7,1,1.4,0.9
Nicasio, Juan,504379,1,-13.4,0.0,105.5,105.5,,105.5,7,7,,1,100.0,0,0.0,0.0
Bishop, Braden,623323,15,6.9,20.0,105.5,80.2,89.7,80.9,294,90,,2,13.3,0,0.0,0.0
Dyson, Jarrod,502481,254,8.5,31.5,105.5,82.8,88.1,79.7,403,142,389,62,24.4,5,2.0,1.4
Soto, Gregory,642397,2,13.5,50.0,105.5,92.4,79.4,105.5,224,191,,1,50.0,0,0.0,0.0
Mathis, Jeff,425772,129,17.1,30.2,105.5,85.8,89.7,83.3,412,180,399,32,25.2,2,1.6,0.9
Urias, Luis,649966,73,8.6,28.8,105.5,86.1,91.1,83.2,389,145,354,24,32.9,3,4.1,2.5
Lopez, Nicky,670032,258,1.2,22.5,105.4,83.8,86.1,83.2,398,114,,51,19.8,2,0.8,0.6
Rojas, Josh,668942,16,14.7,43.8,105.4,88.0,94.1,80.2,365,190,,6,37.5,1,6.3,4.2
Brault, Steven,643230,26,-4.7,34.6,105.4,78.3,86.3,73.6,333,106,,6,24.0,0,0.0,0.0
Lopez, Pablo,641154,13,-4.4,38.5,105.3,80.6,91.7,77.3,323,143,,3,23.1,0,0.0,0.0
Parra, Gerardo,467827,172,9.7,36.6,105.3,85.2,90.1,80.9,413,160,388,36,20.9,7,4.1,2.9
Smith, Will,669257,58,24.2,43.1,105.3,90.1,92.9,85.1,449,243,396,27,46.6,9,15.5,9.7
Gallagher, Cam,595956,100,11.1,38.0,105.3,84.4,88.7,80.4,378,173,364,24,24.0,2,2.0,1.4
Hampson, Garrett,641658,125,12.8,31.2,105.2,82.3,87.7,79.1,425,144,394,28,22.6,2,1.6,1.0
Thaiss, Matt,642136,56,16.8,33.9,105.2,89.2,91.8,88.4,394,187,378,24,42.9,2,3.6,2.0
Knapp, Andrew,595284,64,13.2,32.8,105.2,86.2,94.4,79.9,398,174,398,26,40.6,3,4.7,2.6
Ray, Robbie,592662,26,-20.5,7.7,105.2,73.7,88.9,71.8,337,57,,2,7.7,0,0.0,0.0
Federowicz, Tim,543148,46,16.1,43.5,105.2,87.1,93.3,77.3,434,210,426,19,41.3,4,8.7,5.1
Trevino, Jose,624431,18,-6.8,11.1,105.2,87.7,90.6,85.9,364,113,,6,33.3,0,0.0,0.0
Maile, Luke,571912,83,11.3,33.7,105.2,83.3,91.6,77.6,403,155,380,24,28.9,4,4.8,3.3
Barnhart, Tucker,571466,163,10.8,34.4,105.1,86.9,90.9,84.2,415,172,385,47,30.1,7,4.3,2.7
Zobrist, Ben,450314,73,3.7,30.1,105.1,86.3,90.6,83.7,383,137,,19,26.0,1,1.4,1.0
Houser, Adrian,605288,5,-14.2,20.0,105.1,77.5,104.4,70.8,351,147,,3,60.0,0,0.0,0.0
Duffy, Matt,622110,63,1.4,28.6,105.0,87.0,91.5,83.8,393,124,,22,34.9,2,3.2,2.4
