last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Bauers, Jake,641343,2019,396,248,.233,.226,.007,.386,.351,.035,.303,.293,.010
Hernandez, Teoscar,606192,2019,394,229,.220,.210,.010,.449,.421,.028,.317,.306,.011
Chirinos, Robinson,455139,2019,391,221,.234,.207,.027,.432,.373,.059,.332,.307,.025
Perez, Roberto,547379,2019,391,235,.228,.220,.008,.453,.441,.012,.324,.324,.000
Cooper, Garrett,643265,2019,389,248,.277,.267,.010,.446,.448,-.002,.338,.341,-.003
Piscotty, Stephen,572039,2019,389,274,.252,.249,.003,.416,.429,-.013,.313,.323,-.010
Alfaro, Jorge,595751,2019,388,231,.272,.243,.029,.426,.411,.015,.316,.302,.014
Davis, J.D.,605204,2019,387,266,.305,.308,-.003,.517,.533,-.016,.375,.388,-.013
Mercado, Oscar,640458,2019,386,294,.271,.263,.008,.425,.386,.039,.319,.309,.010
Winker, Jesse,608385,2019,384,278,.269,.279,-.010,.473,.441,.032,.355,.353,.002
Margot, Manuel,622534,2019,384,277,.241,.232,.009,.397,.323,.074,.308,.281,.027
Chavis, Michael,656308,2019,382,220,.254,.220,.034,.444,.400,.044,.327,.301,.026
Thames, Eric,519346,2019,381,212,.261,.226,.035,.517,.412,.105,.366,.323,.043
Verdugo, Alex,657077,2019,377,300,.294,.285,.009,.475,.441,.034,.345,.334,.011
Goodwin, Brian,571718,2019,376,240,.286,.249,.037,.510,.422,.088,.360,.320,.040
Franco, Maikel,596748,2019,375,292,.233,.245,-.012,.407,.413,-.006,.285,.298,-.013
Mondesi, Adalberto,609275,2019,373,251,.271,.235,.036,.432,.367,.065,.308,.282,.026
Rengifo, Luis,650859,2019,373,250,.242,.238,.004,.371,.366,.005,.307,.311,-.004
Tatis Jr., Fernando,665487,2019,372,227,.317,.255,.062,.590,.473,.117,.404,.345,.059
Dixon, Brandon,641525,2019,370,230,.249,.240,.009,.443,.441,.002,.309,.312,-.003
Judge, Aaron,592450,2019,370,200,.275,.282,-.007,.514,.556,-.042,.379,.403,-.024
Gordon, Dee,543829,2019,367,302,.279,.253,.026,.366,.308,.058,.289,.263,.026
Sano, Miguel,593934,2019,367,187,.242,.232,.010,.557,.524,.033,.375,.364,.011
Wolters, Tony,547172,2019,366,271,.272,.253,.019,.341,.325,.016,.296,.286,.010
Ramirez, Harold,623912,2019,364,267,.270,.264,.006,.407,.388,.019,.306,.302,.004
Molina, Yadier,425877,2019,360,299,.277,.266,.011,.411,.417,-.006,.310,.314,-.004
Lopez, Nicky,670032,2019,358,292,.231,.226,.005,.305,.281,.024,.250,.242,.008
Forsythe, Logan,523253,2019,357,213,.224,.235,-.011,.351,.388,-.037,.299,.320,-.021
Cabrera, Melky,466320,2019,356,303,.281,.280,.001,.405,.376,.029,.308,.301,.007
Martinez, Jose,500874,2019,355,245,.266,.276,-.010,.399,.463,-.064,.323,.353,-.030
Jansen, Danny,643376,2019,351,247,.208,.247,-.039,.366,.409,-.043,.281,.317,-.036
Seager, Kyle,572122,2019,351,241,.251,.263,-.012,.495,.475,.020,.349,.354,-.005
Cano, Robinson,429664,2019,350,271,.259,.272,-.013,.430,.435,-.005,.310,.323,-.013
Taylor, Chris,621035,2019,350,223,.271,.235,.036,.481,.374,.107,.344,.297,.047
Smith Jr, Dwight,596105,2019,348,252,.233,.240,-.007,.406,.375,.031,.296,.295,.001
Almora Jr., Albert,546991,2019,346,272,.241,.256,-.015,.393,.377,.016,.282,.286,-.004
DeShields, Delino,592261,2019,344,220,.247,.225,.022,.351,.317,.034,.302,.284,.018
Diaz, Yandy,650490,2019,344,248,.270,.276,-.006,.480,.469,.011,.348,.355,-.007
Contreras, Willson,575929,2019,344,215,.279,.249,.030,.537,.470,.067,.381,.352,.029
Biggio, Cavan,624415,2019,342,187,.212,.234,-.022,.385,.413,-.028,.322,.344,-.022
Simmons, Andrelton,592743,2019,342,292,.266,.228,.038,.372,.308,.064,.297,.260,.037
Granderson, Curtis,434158,2019,341,206,.185,.211,-.026,.359,.365,-.006,.279,.300,-.021
Aguilar, Jesus,542583,2019,341,222,.238,.246,-.008,.383,.429,-.046,.312,.336,-.024
Ruiz, Rio,547004,2019,340,229,.235,.230,.005,.363,.337,.026,.291,.284,.007
Crawford, J.P.,641487,2019,338,230,.241,.243,-.002,.397,.343,.054,.311,.301,.010
Tellez, Rowdy,642133,2019,336,216,.221,.244,-.023,.432,.452,-.020,.299,.324,-.025
Peraza, Jose,606299,2019,335,262,.237,.257,-.020,.346,.345,.001,.274,.288,-.014
Santander, Anthony,623993,2019,334,250,.292,.274,.018,.522,.461,.061,.356,.330,.026
Jones, JaCoby,592444,2019,333,206,.235,.244,-.009,.430,.421,.009,.315,.321,-.006
Maldonado, Martin,455117,2019,332,226,.211,.214,-.003,.358,.356,.002,.278,.284,-.006
Stewart, Christin,621514,2019,332,217,.241,.244,-.003,.393,.425,-.032,.307,.325,-.018
d'Arnaud, Travis,518595,2019,329,227,.251,.260,-.009,.454,.452,.002,.327,.340,-.013
Beckham, Tim,542921,2019,328,202,.237,.223,.014,.461,.415,.046,.319,.302,.017
Hamilton, Billy,571740,2019,326,220,.218,.230,-.012,.276,.265,.011,.252,.257,-.005
Walker, Neil,435522,2019,324,224,.260,.273,-.013,.382,.427,-.045,.317,.343,-.026
Yastrzemski, Mike,573262,2019,324,217,.271,.246,.025,.539,.488,.051,.359,.335,.024
Gurriel Jr., Lourdes,666971,2019,321,218,.279,.252,.027,.548,.484,.064,.367,.340,.027
Alonso, Yonder,475174,2019,320,214,.201,.238,-.037,.351,.383,-.032,.283,.316,-.033
Davis, Chris,448801,2019,319,156,.175,.196,-.021,.311,.346,-.035,.255,.282,-.027
Bader, Harrison,664056,2019,319,189,.207,.220,-.013,.352,.385,-.033,.294,.318,-.024
O'Hearn, Ryan,656811,2019,318,201,.186,.222,-.036,.343,.383,-.040,.273,.307,-.034
Candelario, Jeimer,600869,2019,316,196,.203,.211,-.008,.335,.337,-.002,.276,.283,-.007
Pence, Hunter,452254,2019,316,219,.297,.281,.016,.552,.491,.061,.382,.358,.024
Kelly, Carson,608348,2019,316,207,.257,.248,.009,.520,.459,.061,.364,.344,.020
Wilkerson, Stevie,592859,2019,315,194,.216,.194,.022,.377,.299,.078,.276,.241,.035
