Name,Team,Position,PA,EV,HH%,wOBA,xwOBA,Trend,playerElo
Tayler Scott,Baltimore Orioles,SP,82,90.6,34.5,0.502,0.434,-121,845
Odrisamer Despaigne,Chicago White Sox,SP,68,89,35.8,0.476,0.432,-62,842
Aaron Sanchez,Houston Astros,SP,605,89.6,41.7,0.356,0.345,-27,841
Corbin Burnes,Milwaukee Brewers,RP,223,89,40.7,0.425,0.359,-44,839
Mike Wright,Seattle Mariners,RP,147,91,46.6,0.401,0.349,-48,838
Wei-Yin Chen,Miami Marlins,RP,274,88.5,39.4,0.381,0.339,-38,837
Jorge Lopez,Kansas City Royals,SP,439,90.7,41.8,0.364,0.368,4,835
Adrian Sampson,Texas Rangers,SP,527,90.7,47.4,0.39,0.373,-69,834
Evan Phillips,Baltimore Orioles,RP,104,89.8,40.7,0.405,0.368,-78,824
Tayron Guerrero,Miami Marlins,RP,193,90.7,42,0.358,0.366,-78,806
Shelby Miller,Texas Rangers,RP,220,89.6,39.1,0.387,0.374,-5,803
Ryan Carpenter,Detroit Tigers,SP,197,90.4,45.2,0.421,0.382,-70,793
Antonio Senzatela,Colorado Rockies,SP,483,88.7,43.3,0.378,0.361,-95,784
David Hess,Baltimore Orioles,SP,343,91.2,48.6,0.401,0.396,-84,780
Dan Straily,Baltimore Orioles,RP,236,91.4,48.6,0.471,0.446,-93,767
Edwin Jackson,Detroit Tigers,SP,279,90.5,43.1,0.448,0.404,-77,763
